City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,enoch,37.7733,-113.0244,5.14,65,100,2.57,US,2023-11-30 03:30:55
160,kailua-kona,19.6406,-155.9956,29.04,71,75,8.75,US,2023-11-30 03:27:53
161,sisimiut,66.9395,-53.6735,1.28,75,99,2.36,GL,2023-11-30 03:30:56
162,sarmiento,-45.5882,-69.07,13.28,55,44,11.34,AR,2023-11-30 03:30:56
163,waingapu,-9.6567,120.2641,31.46,62,27,3.95,ID,2023-11-30 03:30:56
164,aldinga beach,-35.2793,138.4604,26.81,51,5,6.01,AU,2023-11-30 03:30:56
165,lihue,21.9789,-159.3672,23.58,83,75,6.17,US,2023-11-30 03:30:57
166,jerada,34.31,-2.16,8.7,30,45,2.86,MA,2023-11-30 03:30:57
167,ust-nera,64.5667,143.2,-25.11,97,99,2.97,RU,2023-11-30 03:30:57
168,yeppoon,-23.1333,150.7333,36.88,58,2,5.52,AU,2023-11-30 03:30:57
169,maloye ganyushkino,46.6,49.2667,5.76,69,100,6.0,KZ,2023-11-30 03:30:58
170,ancud,-41.8697,-73.8203,11.44,90,99,5.36,CL,2023-11-30 03:30:58
171,loen,7.7601,168.2307,27.98,76,97,6.99,MH,2023-11-30 03:30:58
172,olonkinbyen,70.9221,-8.7187,-1.74,90,95,7.42,SJ,2023-11-30 03:30:58
173,qianzhou,28.3167,109.7167,8.97,42,100,3.33,CN,2023-11-30 03:30:59
174,hammerfest,70.6634,23.6821,-0.75,74,100,6.17,NO,2023-11-30 03:30:59
175,nantucket,41.2835,-70.0995,4.06,63,100,3.6,US,2023-11-30 03:30:59
176,orsha,54.5153,30.4053,-5.42,95,100,8.37,BY,2023-11-30 03:30:59
177,happy valley-goose bay,53.3168,-60.3315,-10.83,73,75,4.63,CA,2023-11-30 03:31:00
178,tateyama,34.9833,139.8667,14.81,50,12,11.84,JP,2023-11-30 03:31:00
179,yemetsk,63.4721,41.7941,-15.25,98,66,1.68,RU,2023-11-30 03:31:00
180,chonchi,-42.6128,-73.8092,11.73,93,99,2.03,CL,2023-11-30 03:31:01
181,hushitai,41.9322,123.5114,-6.05,53,1,3.08,CN,2023-11-30 03:31:01
182,sierra grande,-41.606,-65.3557,20.27,30,3,6.34,AR,2023-11-30 03:31:01
183,cumra,37.5732,32.7745,6.08,79,100,3.17,TR,2023-11-30 03:31:02
184,ketchikan,55.3422,-131.6461,8.26,66,100,7.72,US,2023-11-30 03:31:03
185,cidreira,-30.1811,-50.2056,20.75,93,19,5.22,BR,2023-11-30 03:31:03
186,akureyri,65.6835,-18.0878,0.96,80,100,1.03,IS,2023-11-30 03:31:03
187,puntarenas,9.9763,-84.8384,25.84,81,97,1.13,CR,2023-11-30 03:31:04
188,n'zeto,-7.2312,12.8666,25.7,83,97,2.34,AO,2023-11-30 03:31:04
189,uvira,-3.4067,29.1458,21.65,95,100,2.35,CD,2023-11-30 03:31:05
190,inari,68.906,27.0288,-2.89,96,100,4.55,FI,2023-11-30 03:28:42
191,manavalakurichi,8.1333,77.3,27.65,74,93,2.73,IN,2023-11-30 03:31:06
192,iskateley,67.6803,53.1512,-13.32,93,73,4.47,RU,2023-11-30 03:31:07
193,khovd,48.0056,91.6419,-10.96,88,63,0.93,MN,2023-11-30 03:31:07
194,talnakh,69.4865,88.3972,-19.33,97,99,0.35,RU,2023-11-30 03:31:07
195,hadibu,12.65,54.0333,26.27,69,92,7.11,YE,2023-11-30 03:31:08
196,severo-yeniseyskiy,60.3725,93.0408,-12.46,98,100,0.89,RU,2023-11-30 03:31:09
197,chibuto,-24.6867,33.5306,20.31,81,100,2.79,MZ,2023-11-30 03:31:09
198,qaqortoq,60.7167,-46.0333,-2.23,68,100,6.24,GL,2023-11-30 03:31:10
199,tiznit,29.5833,-9.5,13.55,52,87,1.99,MA,2023-11-30 03:31:10
200,bulawayo,-20.15,28.5833,14.52,85,98,8.02,ZW,2023-11-30 03:31:10
201,sinjai,-5.1241,120.253,31.46,62,77,4.0,ID,2023-11-30 03:31:11
202,fortuna foothills,32.6578,-114.4119,18.05,51,20,3.09,US,2023-11-30 03:31:11
203,anta,25.15,76.3,23.03,63,18,2.61,IN,2023-11-30 03:31:12
204,mayya,61.7333,130.2811,-14.38,94,100,5.09,RU,2023-11-30 03:31:12
205,nizhnyaya tavda,57.6731,66.1725,-5.69,93,100,2.22,RU,2023-11-30 03:31:13
206,aykhal,66.0,111.5,-12.7,94,100,10.88,RU,2023-11-30 03:31:13
207,flying fish cove,-10.4217,105.6791,28.82,65,40,5.14,CX,2023-11-30 03:31:13
208,alesund,62.4723,6.1549,0.97,70,100,2.06,NO,2023-11-30 03:31:14
209,etawa,24.1855,78.2031,21.81,72,0,1.97,IN,2023-11-30 03:31:14
210,tofol,5.3248,163.0078,27.97,76,100,4.89,FM,2023-11-30 03:31:15
211,fort st. john,56.2499,-120.8529,-4.06,50,20,1.03,CA,2023-11-30 03:29:23
212,steamboat springs,40.485,-106.8317,1.72,65,0,2.06,US,2023-11-30 03:31:15
213,serhiyivka,46.0272,30.3768,0.97,62,84,3.95,UA,2023-11-30 03:31:16
214,prineville,44.2999,-120.8345,2.8,73,100,0.0,US,2023-11-30 03:31:16
215,ust'-ilimsk,58.0006,102.6619,-12.55,90,100,1.74,RU,2023-11-30 03:31:17
216,atafu village,-8.5421,-172.5159,29.42,73,48,6.74,TK,2023-11-30 03:31:17
217,yerofey pavlovich,53.9667,121.9667,-11.04,55,100,1.81,RU,2023-11-30 03:31:17
218,praia,14.9215,-23.5087,22.3,83,40,2.06,CV,2023-11-30 03:31:18
219,sarina,-21.4333,149.2167,35.7,35,6,5.92,AU,2023-11-30 03:31:18
220,pontianak,-0.0333,109.3333,30.99,74,75,2.06,ID,2023-11-30 03:31:19
221,alaminos,14.0639,121.2465,29.61,68,93,3.51,PH,2023-11-30 03:31:19
222,mabaruma,8.2,-59.7833,22.43,98,34,1.23,GY,2023-11-30 03:31:20
223,al lagowa,11.4,29.1333,24.87,35,95,5.06,SD,2023-11-30 03:31:21
224,zadar,44.1197,15.2422,7.34,87,75,3.6,HR,2023-11-30 03:31:21
225,jose pedro varela,-33.45,-54.5333,18.03,99,73,1.59,UY,2023-11-30 03:31:21
226,penzance,50.1186,-5.5371,6.38,92,100,11.67,GB,2023-11-30 03:31:22
227,colonia,50.9333,6.95,2.14,91,20,1.03,DE,2023-11-30 03:28:04
228,kralendijk,12.15,-68.2667,26.99,83,36,5.66,BQ,2023-11-30 03:27:53
229,oamaru,-45.0784,170.9801,11.88,77,100,4.62,NZ,2023-11-30 03:31:23
230,gamay,12.3854,125.2979,27.82,88,38,3.5,PH,2023-11-30 03:31:24
231,labytnangi,66.6572,66.4183,-12.42,94,93,4.77,RU,2023-11-30 03:31:24
232,kavaratti,10.5669,72.642,28.57,74,46,4.26,IN,2023-11-30 03:31:25
233,dossor,47.5272,52.9811,1.37,70,86,5.83,KZ,2023-11-30 03:31:25
234,kibungo,-2.1597,30.5427,17.51,95,100,0.8,RW,2023-11-30 03:31:26
235,alice springs,-23.7,133.8833,30.75,45,62,10.29,AU,2023-11-30 03:30:51
236,cheremukhovo,60.3484,59.9851,-5.02,95,100,2.24,RU,2023-11-30 03:31:26
237,thompson,55.7435,-97.8558,-21.91,84,0,2.06,CA,2023-11-30 03:31:27
238,usogorsk,63.4106,48.6872,-13.52,100,93,1.26,RU,2023-11-30 03:31:27
239,san antonio de pale,-1.4014,5.6325,26.72,80,82,2.25,GQ,2023-11-30 03:31:27
240,virginia,37.5481,-77.4467,2.92,58,0,3.09,US,2023-11-30 03:30:50
241,taoudenni,22.6783,-3.9836,17.72,15,0,2.9,ML,2023-11-30 03:31:28
242,uglich,57.5275,38.3317,-4.1,92,100,7.08,RU,2023-11-30 03:31:29
